,h=1e-6,h=1e-5,h=1e-4,h=1e-3,h=1e-2,h=1e-1
x=1.0,0.0004323142430382454,5.988601581741193e-06,3.780617019444321e-08,2.2698817359056989e-07,2.2652418575130895e-05,0.002265990070305257
x=2.0,0.0005883529743915261,1.560835100544722e-05,2.358918216316397e-08,6.168923665228476e-07,6.1575668171443e-05,0.006159599631111234
x=3.0,0.005599210607236671,1.4077005264567788e-05,1.3384944708150215e-07,1.6709291017491523e-06,0.00016738001111349377,0.016743527748733555
x=4.0,4.6217338137921615e-05,0.00018832588529704708,2.1636885207954037e-06,4.572256614210346e-06,0.00045498614946382077,0.045513627220195474
x=5.0,0.00500754299312689,0.00010836470437425305,3.6220851029611367e-07,1.2370717314524882e-05,0.001236780233313084,0.1237188658285504
x=6.0,0.045793581280179296,0.0008180221857401193,5.23045912359521e-07,3.3605915689349786e-05,0.003361918829853039,0.33630274480856315
x=7.0,0.21745190969295436,0.0008268187327757914,8.273500952782342e-06,9.177091624223976e-05,0.009138642044035805,0.9141656400872762
x=8.0,3.272333437161251,0.001847489220835996,2.8499817744886968e-05,0.0002458690514686168,0.02484139793614304,2.4849598476798747
x=9.0,1.3051241821394797,0.004548188412627496,7.149046723498031e-07,0.0006755599733878626,0.06752593075907498,6.754821198086574
x=10.0,9.418054287671112,0.03206896537813009,5.475187208503485e-05,0.0018369971076026559,0.18355447507929057,18.361507717487257
