,h=1e-6,h=1e-5,h=1e-4,h=1e-3,h=1e-2,h=1e-1
x=1.0,0.00015903952213936482,2.2030834032893657e-06,1.3908112763964208e-08,8.350428245302519e-08,8.333359086600754e-06,0.0008336111607639353
x=2.0,7.962491643238072e-05,2.1123606041786677e-06,3.1924486493718478e-09,8.348730314987388e-08,8.333360492465916e-06,0.000833611160700574
x=3.0,0.0002787682813085611,7.008528235218171e-07,6.663971572847534e-09,8.319066142663854e-08,8.33336005672134e-06,0.0008336111607454246
x=4.0,8.465000757326945e-07,3.449308908501888e-06,3.962933761458803e-08,8.374380105250309e-08,8.333362012954978e-06,0.0008336111606815628
x=5.0,3.374055928333079e-05,7.301556346452822e-07,2.4405417449929166e-09,8.335323760593756e-08,8.333359661580118e-06,0.0008336111607397387
x=6.0,0.00011351093927559224,2.027674273464693e-06,1.2965011937576042e-09,8.330073666384191e-08,8.333363617273837e-06,0.0008336111607130967
x=7.0,0.0001982904748243944,7.539610912008831e-07,7.544456310840325e-09,8.368424348371248e-08,8.333362869614512e-06,0.0008336111607251879
x=8.0,0.0010977455742033724,6.197635890432073e-07,9.56062375544242e-09,8.247987812556013e-08,8.333360632430578e-06,0.0008336111607349163
x=9.0,0.00016106511962662106,5.612910409516654e-07,8.822624555534104e-11,8.337072396459857e-08,8.333361885748132e-06,0.0008336111606964141
x=10.0,0.0004275790031595377,1.4559287757226644e-06,2.485731147025137e-09,8.33995396590484e-08,8.333360276189568e-06,0.000833611160707245
